lemmatized_question,sequence
who {VERB} {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
what has happen with {PERSON} after the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what has happen to {PERSON} after the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what was happen with {PERSON} after the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what were happen with {PERSON} after the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what was {PERSON} like after the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what do {PERSON} look like after the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
how did {PERSON} do after the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
how was {PERSON} after the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what happen with {PERSON} after {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what has happen with {PERSON} after {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what has happen to {PERSON} after {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what was happen with {PERSON} after {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what were happen with {PERSON} after {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what was {PERSON} like after {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what do {PERSON} look like after {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
how did {PERSON} do after {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
how was {PERSON} after {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what happen with {PERSON} after the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what has happen with {PERSON} after the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what has happen to {PERSON} after the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what was happen with {PERSON} after the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what were happen with {PERSON} after the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what was {PERSON} like after the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what do {PERSON} look like after the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
how did {PERSON} do after the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
how was {PERSON} after the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what happen with {PERSON} between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen with {PERSON} between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen to {PERSON} between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was happen with {PERSON} between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what were happen with {PERSON} between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was {PERSON} like between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what do {PERSON} look like between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how did {PERSON} do between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how was {PERSON} on between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what happen with {PERSON} on or after {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what has happen with {PERSON} on or after {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what has happen to {PERSON} on or after {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what was happen with {PERSON} on or after {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what were happen with {PERSON} on or after {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what was {PERSON} like on or after {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what do {PERSON} look like on or after {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
how did {PERSON} do on or after {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
how was {PERSON} on or after {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what happen with {PERSON} between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen with {PERSON} between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen to {PERSON} between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was happen with {PERSON} between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what were happen with {PERSON} between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was {PERSON} like between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what do {PERSON} look like between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how did {PERSON} do between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how was {PERSON} on between dates {DATE1} and {DATE2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what happen with {PERSON} between the date {DATE} and the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen with {PERSON} between the date {DATE} and the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen to {PERSON} between the date {DATE} and the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was happen with {PERSON} between the date {DATE} and the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what were happen with {PERSON} between the date {DATE} and the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was {PERSON} like between the date {DATE} and the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what do {PERSON} look like between the date {DATE} and the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how did {PERSON} do between the date {DATE} and the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how was {PERSON} on between the date {DATE} and the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what happen with {PERSON} from the date {DATE} to the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen with {PERSON} from the date {DATE} to the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen to {PERSON} from the date {DATE} to the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was happen with {PERSON} from the date {DATE} to the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what were happen with {PERSON} from the date {DATE} to the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was {PERSON} like from the date {DATE} to the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what do {PERSON} look like from the date {DATE} to the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how did {PERSON} do from the date {DATE} to the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how was {PERSON} on from the date {DATE} to the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what happen with {LOCATION} in the year {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what happen with {LOCATION} in the year {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what happen with {LOCATION} in the year {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what happen with {LOCATION} in {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what has happen with {LOCATION} in {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what has happen to {LOCATION} in {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what was happen with {LOCATION} in {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what were happen with {LOCATION} in {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what was {LOCATION} like in {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what is {LOCATION} like now,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = now | VERTEX any | CONDITION any
what do {LOCATION} look like now,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = now | VERTEX any | CONDITION any
what do {LOCATION} look like in {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what is happen with {LOCATION},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = now | VERTEX any | CONDITION any
what is happen at {LOCATION},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = now | VERTEX any | CONDITION any
everything about {LOCATION},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION any | VERTEX any | CONDITION any
about {LOCATION},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION any | VERTEX any | CONDITION any
about {LOCATION} in {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
how was {LOCATION} in {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
all information on {LOCATION},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION any | VERTEX any | CONDITION any
all information on {LOCATION} in {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
everything you know about {LOCATION},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION any | VERTEX any | CONDITION any
everything you have on {LOCATION},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION any | VERTEX any | CONDITION any
what happen with {LOCATION} 5 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what has happen with {LOCATION} 5 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what has happen to {LOCATION} 5 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what was happen with {LOCATION} 5 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what were happen with {LOCATION} 5 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what was {LOCATION} like 5 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
how did {LOCATION} do 5 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what do {LOCATION} look like 5 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what happen with {LOCATION} 3 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what has happen with {LOCATION} 3 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what has happen to {LOCATION} 3 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what was happen with {LOCATION} 3 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what were happen with {LOCATION} 3 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what was {LOCATION} like 3 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what do {LOCATION} look like 3 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
how did {LOCATION} do 3 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what happen with {LOCATION} 1 year ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what has happen with {LOCATION} 1 year ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what has happen to {LOCATION} 1 year ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what was happen with {LOCATION} 1 year ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what were happen with {LOCATION} 1 year ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what was {LOCATION} like 1 year ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what do {LOCATION} look like 1 year ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what happen with {LOCATION} 10 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what has happen with {LOCATION} 10 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what has happen to {LOCATION} 10 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what was happen with {LOCATION} 10 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what were happen with {LOCATION} 10 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what was {LOCATION} like 10 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what do {LOCATION} look like 10 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
how did {LOCATION} do 10 years ago,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what happen with {LOCATION} 5 years ago and before,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= -5 | VERTEX any | CONDITION any
what has happen with {LOCATION} 5 years ago and before,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= -5 | VERTEX any | CONDITION any
what has happen to {LOCATION} 3 years ago and before,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= -3 | VERTEX any | CONDITION any
what was happen with {LOCATION} 3 years ago and before,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= -3 | VERTEX any | CONDITION any
what were happen with {LOCATION} 1 year ago and before,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= -1 | VERTEX any | CONDITION any
what was {LOCATION} like 10 years ago and before,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= -10 | VERTEX any | CONDITION any
what do {LOCATION} look like 10 years ago and before,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= -10 | VERTEX any | CONDITION any
how did {LOCATION} do 3 years ago and before,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= -3 | VERTEX any | CONDITION any
how was {LOCATION} 3 years ago and before,VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= -3 | VERTEX any | CONDITION any
what happen with {LOCATION} before the year {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what has happen with {LOCATION} before the year {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what has happen to {LOCATION} before the year {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what was happen with {LOCATION} before the year {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what were happen with {LOCATION} before the year {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what was {LOCATION} like before the year {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what do {LOCATION} look like before the year {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
how did {LOCATION} do before the year {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
how was {LOCATION} before the year {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what happen with {LOCATION} before {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what has happen with {LOCATION} before {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what has happen to {LOCATION} before {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what was happen with {LOCATION} before {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what were happen with {LOCATION} before {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what was {LOCATION} like before {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what do {LOCATION} look like before {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
how did {LOCATION} do before {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
how was {LOCATION} before {YEAR},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what happen with {LOCATION} before the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what has happen with {LOCATION} before the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what has happen to {LOCATION} before the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what was happen with {LOCATION} before the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what were happen with {LOCATION} before the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what was {LOCATION} like before the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what do {LOCATION} look like before the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how did {LOCATION} do before the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how was {LOCATION} before the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what happen with {LOCATION} on the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what has happen with {LOCATION} on the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what has happen to {LOCATION} on the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what was happen with {LOCATION} on the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what were happen with {LOCATION} on the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what was {LOCATION} like on the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what do {LOCATION} look like on the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
how did {LOCATION} do on the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
how was {LOCATION} on the date {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what happen with {LOCATION} on {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what has happen with {LOCATION} on {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what has happen to {LOCATION} on {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what was happen with {LOCATION} on {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what were happen with {LOCATION} on {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what was {LOCATION} like on {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what do {LOCATION} look like on {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
how did {LOCATION} do on {DATE},VERTEX Location | CONDITION name = {LOCATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
